date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:16	73441/73441	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20May%202026%2014:06:20%20GMT	https://dash.mywed.id/alviansinta	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/alviansinta.html	(from )
21:06:16	24/24	---M--	200	added ('OK')	text/plain	etag:%2268d0b9bc-18%22	https://dash.mywed.id/robots.txt		(from )
21:06:16	2367/2367	---M--	200	added ('OK')	image/png	etag:%226788a788-93f%22	https://dash.mywed.id/img/mywed-title.png	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/img/mywed-title.png	(from https://dash.mywed.id/alviansinta)
21:06:17	122175/122175	---M--	200	added ('OK')	image/jpeg	etag:%22d6569c502c78b46e692f77477766a803%22	https://sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/GDca3rkL1mZpfM23R85EkEqKz52r8FUSloUTs1v0.jpg	C:/My%20Web%20Sites/Alvian%20Sinta/sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/GDca3rkL1mZpfM23R85EkEqKz52r8FUSloUTs1v0.jpg	(from https://dash.mywed.id/alviansinta)
21:06:17	89475/89475	---MCZ	200	added ('OK')	application/javascript	etag:W/%226927fc9c-15d83%22	https://dash.mywed.id/theme-10/src/jquery.js	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/theme-10/src/jquery.js	(from https://dash.mywed.id/alviansinta)
21:06:17	6883/6883	---MCZ	200	added ('OK')	application/javascript	etag:W/%226927fc9c-1ae3%22	https://dash.mywed.id/theme-10/src/loading-page.1762337592.js	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/theme-10/src/loading-page.1762337592.js	(from https://dash.mywed.id/alviansinta)
21:06:18	8176/8176	---MCZ	200	added ('OK')	text/css	etag:W/%226927fc9c-1ff0%22	https://dash.mywed.id/theme-10/plugin/selectize/dist/css/selectize.default.css	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/theme-10/plugin/selectize/dist/css/selectize.default.css	(from https://dash.mywed.id/alviansinta)
21:06:18	1771/1771	---MCZ	200	added ('OK')	text/css	etag:W/%226927fc9c-6eb%22	https://dash.mywed.id/theme-10/plugin/flexbin/flexbin.css	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/theme-10/plugin/flexbin/flexbin.css	(from https://dash.mywed.id/alviansinta)
21:06:18	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%226927fc9c-65c5%22	https://dash.mywed.id/theme-10/plugin/aos/dist/aos.css	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/theme-10/plugin/aos/dist/aos.css	(from https://dash.mywed.id/alviansinta)
21:06:18	25608/25608	---MCZ	200	added ('OK')	text/css	etag:W/%226927fc9c-6408%22	https://dash.mywed.id/theme-10/plugin/lightgallery/dist/css/lightgallery.css	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/theme-10/plugin/lightgallery/dist/css/lightgallery.css	(from https://dash.mywed.id/alviansinta)
21:06:19	55967/55967	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-da9f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.9.0/css/all.min.css	C:/My%20Web%20Sites/Alvian%20Sinta/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.9.0/css/all.min.css	(from https://dash.mywed.id/alviansinta)
21:06:19	1892/1892	---MCZ	200	added ('OK')	text/css	etag:W/%226927fc9c-764%22	https://dash.mywed.id/theme-10/plugin/slick/slick.css	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/theme-10/plugin/slick/slick.css	(from https://dash.mywed.id/alviansinta)
21:06:19	2069/2069	---MCZ	200	added ('OK')	text/css	etag:W/%226927fc9c-815%22	https://dash.mywed.id/theme-10/plugin/modal-video/css/modal-video.min.css	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/theme-10/plugin/modal-video/css/modal-video.min.css	(from https://dash.mywed.id/alviansinta)
21:06:20	52225/52225	---M-Z	200	added ('OK')	text/css	etag:%22886a793929a848cf645dda1f1912bec0%22	https://vjs.zencdn.net/8.16.1/video-js.css	C:/My%20Web%20Sites/Alvian%20Sinta/vjs.zencdn.net/8.16.1/video-js.css	(from https://dash.mywed.id/alviansinta)
21:06:20	161544/161544	---MCZ	200	added ('OK')	text/css	etag:W/%22692804b8-27708%22	https://dash.mywed.id/theme-10/src/universalad2a.css?versi=20260508140620	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/theme-10/src/universalad2a3ce0.css	(from https://dash.mywed.id/alviansinta)
21:06:20	80993/80993	---MCZ	200	added ('OK')	text/css	etag:W/%22692806dc-13c61%22	https://dash.mywed.id/theme-10/src/template/globalad2a.css?versi=20260508140620	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/theme-10/src/template/globalad2a3ce0.css	(from https://dash.mywed.id/alviansinta)
21:06:20	9989/9989	---MCZ	200	added ('OK')	text/css	etag:W/%226927fc9c-2705%22	https://dash.mywed.id/theme-10/src/kado-template.1759120915.css	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/theme-10/src/kado-template.1759120915.css	(from https://dash.mywed.id/alviansinta)
21:06:20	5022/5022	---MCZ	200	added ('OK')	text/css	etag:W/%226927fc9c-139e%22	https://dash.mywed.id/theme-10/src/rundown-template.1762934182.css	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/theme-10/src/rundown-template.1762934182.css	(from https://dash.mywed.id/alviansinta)
21:06:21	501/501	---MCZ	200	added ('OK')	text/css	etag:W/%226927fc9c-1f5%22	https://dash.mywed.id/theme-10/src/note-template.1756182997.css	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/theme-10/src/note-template.1756182997.css	(from https://dash.mywed.id/alviansinta)
21:06:21	5179/5179	---MCZ	200	added ('OK')	text/css	etag:W/%226927fc9c-143b%22	https://dash.mywed.id/theme-10/src/bank-template.1759120915.css	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/theme-10/src/bank-template.1759120915.css	(from https://dash.mywed.id/alviansinta)
21:06:21	80412/80412	---MCZ	200	added ('OK')	text/css	etag:W/%22693be2d1-13a1c%22	https://dash.mywed.id/theme-10/src/template/exclusive-noir.1762419146.css?versi=20260508140620	C:/My%20Web%20Sites/Alvian%20Sinta/dash.mywed.id/theme-10/src/template/exclusive-noir.17624191463ce0.css	(from https://dash.mywed.id/alviansinta)
21:06:22	81882/81882	---M--	200	added ('OK')	image/jpeg	etag:%22b504a6ae73d6e92bc200bd72f2364b0f%22	https://sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/k1eS8pKQI6RzTzGRtAjZELEG9f8Jf30hmsTi8U1l.jpg	C:/My%20Web%20Sites/Alvian%20Sinta/sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/k1eS8pKQI6RzTzGRtAjZELEG9f8Jf30hmsTi8U1l.jpg	(from https://dash.mywed.id/alviansinta)
21:06:23	356927/356927	---M--	200	added ('OK')	image/jpeg	etag:%22c81e6fb434f963812274d99a645e7bd2%22	https://sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/HN4OYlW1Uvd8vYiYrgYTtlGJDwCUyMvJCWyXqaK4.jpg	C:/My%20Web%20Sites/Alvian%20Sinta/sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/HN4OYlW1Uvd8vYiYrgYTtlGJDwCUyMvJCWyXqaK4.jpg	(from https://dash.mywed.id/alviansinta)
21:06:23	233052/233052	---M--	200	added ('OK')	image/jpeg	etag:%22c5a11cdc4747979daefb244a06734784%22	https://sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/OlSudauIEmc9MeB4Ae3EkQDUHPs6BCyXwxjDRzNW.jpg	C:/My%20Web%20Sites/Alvian%20Sinta/sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/OlSudauIEmc9MeB4Ae3EkQDUHPs6BCyXwxjDRzNW.jpg	(from https://dash.mywed.id/alviansinta)
21:06:24	369904/369904	---M--	200	added ('OK')	image/jpeg	etag:%22058298092d6ca54825e9fb24f08e044f%22	https://sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/zrr58Vi7k4hS0bLvsbsBPQEtOfoBNTKarNmCtjks.jpg	C:/My%20Web%20Sites/Alvian%20Sinta/sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/zrr58Vi7k4hS0bLvsbsBPQEtOfoBNTKarNmCtjks.jpg	(from https://dash.mywed.id/alviansinta)
21:06:25	122175/122175	---M--	200	added ('OK')	image/jpeg	etag:%22d6569c502c78b46e692f77477766a803%22	https://sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/swkMFzZGrLg3eHexCzVDzywlYu6yUIUwNa6U8f8X.jpg	C:/My%20Web%20Sites/Alvian%20Sinta/sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/swkMFzZGrLg3eHexCzVDzywlYu6yUIUwNa6U8f8X.jpg	(from https://dash.mywed.id/alviansinta)
21:06:26	284844/284844	---M--	200	added ('OK')	image/jpeg	etag:%222b915cf22bd5a0eddd90ddc1ca4c18a5%22	https://sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/jmbL8zUFo7dWfjfgvgbuziKElBKUShZS803rXdTL.jpg	C:/My%20Web%20Sites/Alvian%20Sinta/sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/jmbL8zUFo7dWfjfgvgbuziKElBKUShZS803rXdTL.jpg	(from https://dash.mywed.id/alviansinta)
21:06:26	488001/488001	---M--	200	added ('OK')	image/jpeg	etag:%2235d77c0e8382b5faa5a5e68035b19cf7%22	https://sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/T4N5Fct2fc5fXlAbfTtCFvCd62CQTp3WKb85QVey.jpg	C:/My%20Web%20Sites/Alvian%20Sinta/sobatstorage.s3.ap-southeast-1.wasabisys.com/mywed/T4N5Fct2fc5fXlAbfTtCFvCd62CQTp3WKb85QVey.jpg	(from https://dash.mywed.id/alviansinta)
